timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,label
2025-07-13T11:10:06.531551,13276,-2196,10664,-602,885,-269,sitting
2025-07-13T11:10:06.531551,13372,-2252,10672,-677,1176,-156,sitting
2025-07-13T11:10:06.531551,13364,-2284,10620,-722,804,-231,sitting
2025-07-13T11:10:06.532228,13260,-2320,10772,-525,732,-351,sitting
2025-07-13T11:10:06.532228,13324,-2384,10768,-485,748,-300,sitting
2025-07-13T11:10:06.532228,13492,-2240,10556,-484,765,-299,sitting
2025-07-13T11:10:06.532859,13428,-2224,10608,-538,825,-263,sitting
2025-07-13T11:10:06.532859,13424,-2244,10624,-534,851,-261,sitting
2025-07-13T11:10:06.533192,13320,-2168,10680,-554,876,-290,sitting
2025-07-13T11:10:06.533192,13468,-2324,10600,-559,907,-312,sitting
2025-07-13T11:10:06.533192,13372,-2248,10576,-556,917,-304,sitting
2025-07-13T11:10:06.533192,13380,-2176,10632,-549,907,-293,sitting
2025-07-13T11:10:06.533192,13388,-2240,10660,-549,866,-331,sitting
2025-07-13T11:10:06.533192,13504,-2204,10620,-570,920,-298,sitting
2025-07-13T11:10:06.533192,13412,-2276,10724,-596,919,-342,sitting
2025-07-13T11:10:06.533192,13296,-2316,10844,-591,895,-341,sitting
2025-07-13T11:10:06.533192,13344,-2224,10672,-579,872,-308,sitting
2025-07-13T11:10:06.533192,13360,-2300,10548,-581,856,-330,sitting
2025-07-13T11:10:06.533192,13364,-2228,10700,-567,808,-411,sitting
2025-07-13T11:10:06.533192,13468,-2128,10668,-595,852,-362,sitting
2025-07-13T11:10:06.533192,13396,-2228,10604,-644,858,-359,sitting
2025-07-13T11:10:06.533192,13300,-2352,10740,-638,926,-280,sitting
2025-07-13T11:10:06.533192,13328,-2244,10708,-618,816,-285,sitting
2025-07-13T11:10:06.533192,13420,-2220,10768,-549,764,-314,sitting
2025-07-13T11:10:06.533192,13452,-2360,10768,-540,798,-284,sitting
2025-07-13T11:10:06.534841,13456,-2108,10628,-568,825,-277,sitting
2025-07-13T11:10:06.534841,13436,-2152,10676,-539,879,-270,sitting
2025-07-13T11:10:06.534841,13488,-2300,10596,-540,899,-281,sitting
2025-07-13T11:10:06.534841,13408,-2176,10636,-542,969,-260,sitting
2025-07-13T11:10:07.552418,13328,-2252,10748,-568,957,-298,sitting
2025-07-13T11:10:07.552418,13312,-2236,10616,-522,969,-284,sitting
2025-07-13T11:10:07.552418,13360,-2164,10516,-571,962,-274,sitting
2025-07-13T11:10:07.552418,13448,-2312,10740,-620,968,-283,sitting
2025-07-13T11:10:07.552418,13480,-2240,10604,-612,1111,-305,sitting
2025-07-13T11:10:07.552418,13460,-2220,10676,-662,1127,-328,sitting
2025-07-13T11:10:07.552418,13328,-2324,10724,-710,1134,-311,sitting
2025-07-13T11:10:07.552418,13344,-2304,10620,-684,1120,-281,sitting
2025-07-13T11:10:07.552418,13376,-2416,10828,-606,958,-326,sitting
2025-07-13T11:10:07.552418,13316,-2356,10784,-612,847,-338,sitting
2025-07-13T11:10:07.552418,13324,-2260,10564,-600,814,-330,sitting
2025-07-13T11:10:07.552418,13208,-2364,10660,-590,839,-299,sitting
2025-07-13T11:10:07.552418,13188,-2380,10584,-588,818,-265,sitting
2025-07-13T11:10:07.552418,13364,-2168,10560,-573,712,-236,sitting
